,questão,texto
0,0,(CESPE - 2016 - PC-GO - Agente de Polícia Substituto)
1,1,(CESPE - 2016 - TRT - 8ª Região (PA e AP) - Analista Judiciário - Área Administrativa)
2,2,(CESPE - 2014 - TJ-CE - Analista Judiciário - Área Administrativa)
3,3,(CESPE-2011-STM-Analista Judiciário)
4,4,(2016- CESPE-ANVISA-  Técnico Administrativo)
5,5,·                 CESPE - 2015 - DPE-PE - Defensor Público
6,6,(CESPE ? TRT ? 17ª Região (ES) ? 2013 ? Analista Judiciário ? Área Judiciária)
7,7,(CESPE - 2011 - STM - Analista Judiciário - Análise de Sistemas)
8,8,·        FCC-2015-TRT - 9ª REGIÃO (PR)-Técnico Judiciário - Área Administrativa
9,9,(CESPE ? MPU ? Analista ? 2013)
10,10,(CESPE ? TRF ? 1ª Região ? 2017 ? Analista Judiciário ? Área Administrativa)
11,11,(CESPE ? TJDFT ? 2008 ? Analista Judiciário ? Área Judiciária)
12,12,(Adaptada - CESPE ? DPE-AC ? 2017 ? Defensor Público)
13,13,(CESPE ? TCE-RN ? 2015 ? Tecnologia da Informação)
14,14,(CESPE - 2015 - TJ-PB - Juiz Substituto)
15,15,(CESPE - 2011 - STM - Analista Administrativo)
16,16,(CESPE ? STJ ? 2004 ? Analista Judiciário ? Área Administrativa)
17,17,(CESPE ? CNJ - 2013 ? Analista Judiciário ? Área Judiciária)
18,19,(CESPE - 2016 - PC-PE - Agente de Polícia)
19,20,(CESPE - 2016 - DPU - Analista Técnico ? Administrativo)
20,21,(CESPE - 2016 - DPU - Técnico em Assuntos Educacionais)
21,22,(CESPE - 2016 - DPU - Técnico em Assuntos Educacionais)
22,23,(Prova CESPE - 2010 - MPE-SE - Promotor de Justiça)
23,24,(CESPE - 2011 - STM - Analista Judiciário - Análise de Sistemas)
24,25,(CESPE ? TRT ? 17ª Região (ES) ? 2013 ? Analista Judiciário ? Área Judiciária)
25,26,(CESPE - 2011 - STM - Técnico Judiciário)
26,27,(CESPE - 2015 - MPU - Técnico do MPU - Segurança Institucional e Transporte)
27,28,(CESPE ? MPU ? Analista ? 2013)
28,29,(CESPE - 2011 - STM - Cargos de Nível Superior)
29,30,(CESPE - 2013 - IBAMA - Analista Ambiental - Conhecimentos Básicos - Todos os Temas)
30,31,(CESPE - 2012 - IBAMA - Técnico Administrativo)
31,32,(CESPE - 2009 - DETRAN-DF - Auxiliar de Trânsito)
32,33,(CESPE - 2011 - STM - Analista Judiciário - Área Administrativa)
33,34,(CESPE - 2015 - MPU - Técnico do MPU - Segurança Institucional e Transporte)
34,35,(2016- CESPE-ANVISA-  Técnico Administrativo)
35,36,(MPE-BA - 2018 - MPE-BA - Promotor de Justiça Substituto)
36,37,(MPE-BA - 2018 - MPE-BA - Promotor de Justiça Substituto)
37,38,(CESPE - 2014 - TJ-SE - Titular de Serviços de Notas e de Registros - Remoção)
38,39,·        FCC-2015-TRT - 9ª REGIÃO (PR)-Técnico Judiciário - Área Administrativa
39,40,(CESPE - 2011 - STM - Analista Judiciário - Análise de Sistemas)
40,41,·        FCC-2015-TRT - 9ª REGIÃO (PR)-Técnico Judiciário - Área Administrativa
41,42,·        CESPE - AL-ES - Procurador - 2011
42,43,(CESPE - 2011 - STM - Analista Judiciário - Área Administrativa)
43,44,(CESPE ? TJDFT ? Analista/Direito ? 2015)
44,45,·        TRT - 4ª REGIÃO ? TRT - 4ª REGIÃO (RS) ? 2016 ? Juiz do Trabalho Substituto
45,46,(2018-CESPEÓrgão: STJProva: Analista Judiciário - Oficial de Justiça Avaliador Federal)
46,47,(CESPE ? 2010 ? INSS ? Engenheiro Civil)
47,48,(CESPE - 2013 - BACEN ? Procurador)
48,49,(CESPE - 2017 - Prefeitura de Belo Horizonte - MG - Procurador Municipal)
49,50,(CESPE - 2018 - PC-MA - Delegado de Polícia Civil)
50,51,(CESPE - 2013 - MPU - Analista ? Direito)
51,52,·        FCC-2015-TRT - 9ª REGIÃO (PR)-Técnico Judiciário - Área Administrativa
52,53,·        FCC-2015-TRT - 9ª REGIÃO (PR)-Técnico Judiciário - Área Administrativa
53,54,(CESPE ? PC-GO? Agente de Polícia Substituto? 2016- Adaptada pela equipe Mentory)
54,55,(Ano: 2017Banca: CESPEÓrgão: MPE-RRProva: Promotor de Justiça Substituto)
55,56,(CESPE - 2018 - ABIN - Oficial Técnico de Inteligência - Área 2)
56,57,·        TRT- 4ª REGIÃO ? TRT - 4ª REGIÃO (RS) ? 2016 ? Juiz do Trabalho Substituto
57,58,(CESPE ? SEDF? Direito e Legislação ? 2017)
58,59,(2017- CESPE-TRE-PE- Técnico  Judiciário ? Área Administrativa)
59,60,(CESPE - 2015 - MPU - Técnico do MPU - Segurança Institucional e Transporte)
60,61,(Ano: 2017Banca: CESPEÓrgão: Prefeitura de Fortaleza - CEProva: Procurador do Município)
61,62,·        FCC-2015-TRT - 9ª REGIÃO (PR)-Técnico Judiciário - Área Administrativa
62,63,(CESPE - 2010 - Caixa ? Advogado)
63,64,(CESPE ? TJDFT? Técnico ? 2015)
64,65,(CESPE - 2017 - MPE-RR - Promotor de Justiça Substituto)
65,66,(CESPE ? TJDFT? Técnico ? 2015)
66,67,(CESPE - 2018 - EMAP - Analista Portuário - Área Jurídica)
67,69,(CESPE - 2015 - MPU - Técnico do MPU - Segurança Institucional e Transporte)
68,70,·        CESPE - DPE-ES - Defensor Público ? 2012
69,71,(CESPE - 2013 - TRT - 17ª Região (ES) - Analista Judiciário - Oficial de Justiça Avaliador)
70,72,(CESPE - 2015 - MPU - Técnico do MPU - Segurança Institucional e Transporte)
71,73,(Ano: 2016Banca: CESPEÓrgão: FUNPRESP-JUDProva: Analista ? Direito)
72,74,(CESPE - 2015 - MPU - Técnico do MPU - Segurança Institucional e Transporte)
73,75,·        CESPE - BACEN - Procurador - 2013
74,76,·        CESPE - DPE-RR - Defensor Público ? 2013
75,77,(CESPE - 2011 - STM - Técnico Judiciário)
76,78,(CESPE - 2018 - STJ - Técnico Judiciário ? Administrativa)
77,79,·        CESPE - SEAD-SE (FPH) - Procurador ? 2009
78,80,(CESPE - 2017 - TRE-BA - Analista Judiciário ? Área Judiciária)
79,81,(CESPE - 2011 - STM - Execução de Mandados)
80,82,·        CESPE - MPE-TO - Promotor de Justiça - 2012
81,83,·        CESPE - TCU - Procurador do Ministério Público ? 2015
82,84,·        INSTITUTO CIDADES ? 2010 - DPE-GO - Defensor Público (adaptada)
83,85,(CESPE - 2017 - TRF - 5ª REGIÃO - Juiz Federal Substituto)
84,86,(CESPE - 2013 - PC-BA - Delegado de Polícia)
85,88,(CESPE ? TRE-RJ ? 2012 ? Analista Judiciário ? Área Administrativa)
86,89,(CESPE - 2010 - MPE-RO - Promotor de Justiça)
