,Lei,Titulo,Capitulo,sec,subsec,art,niv2,Texto,endereço,end
0,cf88,1,0,,,4,48,"a) a proteção às participações individuais em obras coletivas e à reprodução da imagem e voz humanas, inclusive nas atividades desportivas;","cf88,1,0,,,4,48,0,",a
1,cf88,1,0,,,4,48,"b) o direito de fiscalização do aproveitamento econômico das obras que criarem ou de que participarem aos criadores, aos intérpretes e às respectivas representações sindicais e associativas;","cf88,1,0,,,4,48,1,",b
2,cf88,1,0,,,4,54,a) o direito de petição aos Poderes Públicos em defesa de direitos ou contra ilegalidade ou abuso de poder;,"cf88,1,0,,,4,54,2,",a
3,cf88,1,0,,,4,54,"b) a obtenção de certidões em repartições públicas, para defesa de direitos e esclarecimento de situações de interesse pessoal;","cf88,1,0,,,4,54,3,",b
4,cf88,1,0,,,4,58,a) a plenitude de defesa;,"cf88,1,0,,,4,58,4,",a
5,cf88,1,0,,,4,58,b) o sigilo das votações;,"cf88,1,0,,,4,58,5,",b
6,cf88,1,0,,,4,58,c) a soberania dos veredictos;,"cf88,1,0,,,4,58,6,",c
7,cf88,1,0,,,4,58,d) a competência para o julgamento dos crimes dolosos contra a vida;,"cf88,1,0,,,4,58,7,",d
8,cf88,1,0,,,4,66,a) privação ou restrição da liberdade;,"cf88,1,0,,,4,66,8,",a
9,cf88,1,0,,,4,66,b) perda de bens;,"cf88,1,0,,,4,66,9,",b
10,cf88,1,0,,,4,66,c) multa;,"cf88,1,0,,,4,66,10,",c
11,cf88,1,0,,,4,66,d) prestação social alternativa;,"cf88,1,0,,,4,66,11,",d
12,cf88,1,0,,,4,66,e) suspensão ou interdição de direitos;,"cf88,1,0,,,4,66,12,",e
13,cf88,1,0,,,4,67,"a) de morte, salvo em caso de guerra declarada, nos termos do art. 84, XIX;","cf88,1,0,,,4,67,13,",a
14,cf88,1,0,,,4,67,b) de caráter perpétuo;,"cf88,1,0,,,4,67,14,",b
15,cf88,1,0,,,4,67,c) de trabalhos forçados;,"cf88,1,0,,,4,67,15,",c
16,cf88,1,0,,,4,67,d) de banimento;,"cf88,1,0,,,4,67,16,",d
17,cf88,1,0,,,4,67,e) cruéis;,"cf88,1,0,,,4,67,17,",e
18,cf88,1,0,,,4,90,a) partido político com representação no Congresso Nacional;,"cf88,1,0,,,4,90,18,",a
19,cf88,1,0,,,4,90,"b) organização sindical, entidade de classe ou associação legalmente constituída e em funcionamento há pelo menos um ano, em defesa dos interesses de seus membros ou associados;","cf88,1,0,,,4,90,19,",b
20,cf88,1,0,,,4,92,"a) para assegurar o conhecimento de informações relativas à pessoa do impetrante, constantes de registros ou bancos de dados de entidades governamentais ou de caráter público;","cf88,1,0,,,4,92,20,",a
21,cf88,1,0,,,4,92,"b) para a retificação de dados, quando não se prefira fazê-lo por processo sigiloso, judicial ou administrativo;","cf88,1,0,,,4,92,21,",b
22,cf88,1,0,,,4,96,a) o registro civil de nascimento;,"cf88,1,0,,,4,96,22,",a
23,cf88,1,0,,,4,96,b) a certidão de óbito;,"cf88,1,0,,,4,96,23,",b
24,cf88,1,1,,,6,131,"a) (Revogada). (Redação dada pela Emenda Constitucional nº 28, de 25/05/2000)","cf88,1,1,,,6,131,24,",a
25,cf88,1,1,,,6,131,"b) (Revogada). (Redação dada pela Emenda Constitucional nº 28, de 25/05/2000)","cf88,1,1,,,6,131,25,",b
26,cf88,1,2,,,11,149,"a) os nascidos na República Federativa do Brasil, ainda que de pais estrangeiros, desde que estes não estejam a serviço de seu país;","cf88,1,2,,,11,149,26,",a
27,cf88,1,2,,,11,149,"b) os nascidos no estrangeiro, de pai brasileiro ou mãe brasileira, desde que qualquer deles esteja a serviço da República Federativa do Brasil;","cf88,1,2,,,11,149,27,",b
