,original,Texto,endereço,tipo
0,"Art. 1º A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e do Distrito Federal, constitui-se em Estado Democrático de Direito e tem como fundamentos:","Art. 1º A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e do Distrito Federal, constitui-se em Estado Democrático de Direito e tem como fundamentos:","cf88,0,,,,0,,,",art
1,OBS.: República é a forma de governo em que o povo governa no interesse do povo.,OBS.: República é a forma de governo em que o povo governa no interesse do povo.,"cf88,0,,,,0,,,",questao
2,OBS.: O SISTEMA DE GOVERNO em presidencialista ou parlamentarista.,OBS.: O SISTEMA DE GOVERNO em presidencialista ou parlamentarista.,"cf88,0,,,,0,,,",questao
3,"OBS.: No Brasil, vigora um sistema de governo em que as funções de chefe de Estado e de chefe de governo SÃO concentradas na pessoa do chefe do Poder Executivo.","OBS.: No Brasil, vigora um sistema de governo em que as funções de chefe de Estado e de chefe de governo SÃO concentradas na pessoa do chefe do Poder Executivo.","cf88,0,,,,0,,,",questao
4,"OBS.: MESMO NO exercício de sua autonomia política, os estados NÃO podem adotar o regime parlamentar de governo. TANTO A FORMA QUANTO O REGIME (DEMOCRÁTICO) E SISTEMA DE GOVERNO (PRESIDENCIALISMO) ADOTADOS PELA CONSTITUIÇÃO FEDERAL CONSTITUEM NORMAS DE REPRODUÇÃO OBRIGATÓRIA.","OBS.: MESMO NO exercício de sua autonomia política, os estados NÃO podem adotar o regime parlamentar de governo. TANTO A FORMA QUANTO O REGIME (DEMOCRÁTICO) E SISTEMA DE GOVERNO (PRESIDENCIALISMO) ADOTADOS PELA CONSTITUIÇÃO FEDERAL CONSTITUEM NORMAS DE REPRODUÇÃO OBRIGATÓRIA.","cf88,0,,,,0,,,",questao
5,"OBS.: Nos termos da CF, um ente federativo NÃO terá o direito de secessão, isto é, de desagregar-se da Federação, seja em caso de crise institucional.","OBS.: Nos termos da CF, um ente federativo NÃO terá o direito de secessão, isto é, de desagregar-se da Federação, seja em caso de crise institucional.","cf88,0,,,,0,,,",questao
6,I - a soberania;,"Art. 1º A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e do Distrito Federal, constitui-se em Estado Democrático de Direito e tem como fundamentos:I - a soberania;","cf88,0,,,,0,0,,",art-inciso
7,II - a cidadania,"Art. 1º A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e do Distrito Federal, constitui-se em Estado Democrático de Direito e tem como fundamentos:II - a cidadania","cf88,0,,,,0,1,,",art-inciso
8,III - a dignidade da pessoa humana;,"Art. 1º A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e do Distrito Federal, constitui-se em Estado Democrático de Direito e tem como fundamentos:III - a dignidade da pessoa humana;","cf88,0,,,,0,2,,",art-inciso
9,"OBS.: A exagerada e indefinida exploração midiática de crimes e tragédias privadas deve ser impedida, a fim de se respeitar o direito ao esquecimento das vítimas de crimes e, assim, preservar a dignidade da pessoa humana.","OBS.: A exagerada e indefinida exploração midiática de crimes e tragédias privadas deve ser impedida, a fim de se respeitar o direito ao esquecimento das vítimas de crimes e, assim, preservar a dignidade da pessoa humana.","cf88,0,,,,0,2,,",questao
10,IV - os valores sociais do trabalho e da livre iniciativa;,"Art. 1º A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e do Distrito Federal, constitui-se em Estado Democrático de Direito e tem como fundamentos:IV - os valores sociais do trabalho e da livre iniciativa;","cf88,0,,,,0,3,,",art-inciso
11,OBS.: Os valores sociais do trabalho e da livre iniciativa constituem fundamentos da República Federativa do Brasil.,OBS.: Os valores sociais do trabalho e da livre iniciativa constituem fundamentos da República Federativa do Brasil.,"cf88,0,,,,0,3,,",questao
