,original,Texto,endereço,tipo
0,"Art. 1º A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e do Distrito Federal, constitui-se em Estado Democrático de Direito e tem como fundamentos:","Art. 1º A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e do Distrito Federal, constitui-se em Estado Democrático de Direito e tem como fundamentos:","cf88,0,,,,0,,,",art
6,I - a soberania;,"Art. 1º A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e do Distrito Federal, constitui-se em Estado Democrático de Direito e tem como fundamentos:I - a soberania;","cf88,0,,,,0,0,,",art-inciso
7,II - a cidadania,"Art. 1º A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e do Distrito Federal, constitui-se em Estado Democrático de Direito e tem como fundamentos:II - a cidadania","cf88,0,,,,0,1,,",art-inciso
8,III - a dignidade da pessoa humana;,"Art. 1º A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e do Distrito Federal, constitui-se em Estado Democrático de Direito e tem como fundamentos:III - a dignidade da pessoa humana;","cf88,0,,,,0,2,,",art-inciso
10,IV - os valores sociais do trabalho e da livre iniciativa;,"Art. 1º A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e do Distrito Federal, constitui-se em Estado Democrático de Direito e tem como fundamentos:IV - os valores sociais do trabalho e da livre iniciativa;","cf88,0,,,,0,3,,",art-inciso
12,V - o pluralismo político.,"Art. 1º A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e do Distrito Federal, constitui-se em Estado Democrático de Direito e tem como fundamentos:V - o pluralismo político.","cf88,0,,,,0,4,,",art-inciso
15,"Parágrafo único. Todo o poder emana do povo, que o exerce por meio de representantes eleitos ou diretamente, nos termos desta Constituição.","Parágrafo único. Todo o poder emana do povo, que o exerce por meio de representantes eleitos ou diretamente, nos termos desta Constituição.","cf88,0,,,,0,5,,",par
16,"Art. 2º São Poderes da União, independentes e harmônicos entre si, o Legislativo, o Executivo e o Judiciário.","Art. 2º São Poderes da União, independentes e harmônicos entre si, o Legislativo, o Executivo e o Judiciário.","cf88,0,,,,1,,,",art
32,Art. 3º Constituem objetivos fundamentais da República Federativa do Brasil:,Art. 3º Constituem objetivos fundamentais da República Federativa do Brasil:,"cf88,0,,,,2,,,",art
33,"I - construir uma sociedade livre, justa e solidária;","Art. 3º Constituem objetivos fundamentais da República Federativa do Brasil:I - construir uma sociedade livre, justa e solidária;","cf88,0,,,,2,6,,",art-inciso
34,II - garantir o desenvolvimento nacional;,Art. 3º Constituem objetivos fundamentais da República Federativa do Brasil:II - garantir o desenvolvimento nacional;,"cf88,0,,,,2,7,,",art-inciso
35,III - erradicar a pobreza e a marginalização e reduzir as desigualdades sociais e regionais;,Art. 3º Constituem objetivos fundamentais da República Federativa do Brasil:III - erradicar a pobreza e a marginalização e reduzir as desigualdades sociais e regionais;,"cf88,0,,,,2,8,,",art-inciso
36,"IV - promover o bem de todos, sem preconceitos de origem, raça, sexo, cor, idade e quaisquer outras formas de discriminação.","Art. 3º Constituem objetivos fundamentais da República Federativa do Brasil:IV - promover o bem de todos, sem preconceitos de origem, raça, sexo, cor, idade e quaisquer outras formas de discriminação.","cf88,0,,,,2,9,,",art-inciso
37,Art. 4º A República Federativa do Brasil rege-se nas suas relações internacionais pelos seguintes princípios:,Art. 4º A República Federativa do Brasil rege-se nas suas relações internacionais pelos seguintes princípios:,"cf88,0,,,,3,,,",art
38,I - independência nacional;,Art. 4º A República Federativa do Brasil rege-se nas suas relações internacionais pelos seguintes princípios:I - independência nacional;,"cf88,0,,,,3,10,,",art-inciso
39,II - prevalência dos direitos humanos;,Art. 4º A República Federativa do Brasil rege-se nas suas relações internacionais pelos seguintes princípios:II - prevalência dos direitos humanos;,"cf88,0,,,,3,11,,",art-inciso
40,III - autodeterminação dos povos;,Art. 4º A República Federativa do Brasil rege-se nas suas relações internacionais pelos seguintes princípios:III - autodeterminação dos povos;,"cf88,0,,,,3,12,,",art-inciso
41,IV - não-intervenção;,Art. 4º A República Federativa do Brasil rege-se nas suas relações internacionais pelos seguintes princípios:IV - não-intervenção;,"cf88,0,,,,3,13,,",art-inciso
42,V - igualdade entre os Estados;,Art. 4º A República Federativa do Brasil rege-se nas suas relações internacionais pelos seguintes princípios:V - igualdade entre os Estados;,"cf88,0,,,,3,14,,",art-inciso
43,VI - defesa da paz;,Art. 4º A República Federativa do Brasil rege-se nas suas relações internacionais pelos seguintes princípios:VI - defesa da paz;,"cf88,0,,,,3,15,,",art-inciso
44,VII - solução pacífica dos conflitos;,Art. 4º A República Federativa do Brasil rege-se nas suas relações internacionais pelos seguintes princípios:VII - solução pacífica dos conflitos;,"cf88,0,,,,3,16,,",art-inciso
45,VIII - repúdio ao terrorismo e ao racismo;,Art. 4º A República Federativa do Brasil rege-se nas suas relações internacionais pelos seguintes princípios:VIII - repúdio ao terrorismo e ao racismo;,"cf88,0,,,,3,17,,",art-inciso
47,IX - cooperação entre os povos para o progresso da humanidade;,Art. 4º A República Federativa do Brasil rege-se nas suas relações internacionais pelos seguintes princípios:IX - cooperação entre os povos para o progresso da humanidade;,"cf88,0,,,,3,18,,",art-inciso
48,X - concessão de asilo político.,Art. 4º A República Federativa do Brasil rege-se nas suas relações internacionais pelos seguintes princípios:X - concessão de asilo político.,"cf88,0,,,,3,19,,",art-inciso
50,"Parágrafo único. A República Federativa do Brasil buscará a integração econômica, política, social e cultural dos povos da América Latina, visando à formação de uma comunidade latino-americana de nações.","Parágrafo único. A República Federativa do Brasil buscará a integração econômica, política, social e cultural dos povos da América Latina, visando à formação de uma comunidade latino-americana de nações.","cf88,0,,,,3,20,,",par
51,"Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes:","Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes:","cf88,1,0,,,4,,,",art
64,"I - homens e mulheres são iguais em direitos e obrigações, nos termos desta Constituição;","Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes:I - homens e mulheres são iguais em direitos e obrigações, nos termos desta Constituição;","cf88,1,0,,,4,21,,",art-inciso
