,original,Texto,endereço,tipo
1,OBS.: República é a forma de governo em que o povo governa no interesse do povo.,OBS.: República é a forma de governo em que o povo governa no interesse do povo.,"cf88,0,,,,0,,,",questao
2,OBS.: O SISTEMA DE GOVERNO em presidencialista ou parlamentarista.,OBS.: O SISTEMA DE GOVERNO em presidencialista ou parlamentarista.,"cf88,0,,,,0,,,",questao
3,"OBS.: No Brasil, vigora um sistema de governo em que as funções de chefe de Estado e de chefe de governo SÃO concentradas na pessoa do chefe do Poder Executivo.","OBS.: No Brasil, vigora um sistema de governo em que as funções de chefe de Estado e de chefe de governo SÃO concentradas na pessoa do chefe do Poder Executivo.","cf88,0,,,,0,,,",questao
4,"OBS.: MESMO NO exercício de sua autonomia política, os estados NÃO podem adotar o regime parlamentar de governo. TANTO A FORMA QUANTO O REGIME (DEMOCRÁTICO) E SISTEMA DE GOVERNO (PRESIDENCIALISMO) ADOTADOS PELA CONSTITUIÇÃO FEDERAL CONSTITUEM NORMAS DE REPRODUÇÃO OBRIGATÓRIA.","OBS.: MESMO NO exercício de sua autonomia política, os estados NÃO podem adotar o regime parlamentar de governo. TANTO A FORMA QUANTO O REGIME (DEMOCRÁTICO) E SISTEMA DE GOVERNO (PRESIDENCIALISMO) ADOTADOS PELA CONSTITUIÇÃO FEDERAL CONSTITUEM NORMAS DE REPRODUÇÃO OBRIGATÓRIA.","cf88,0,,,,0,,,",questao
5,"OBS.: Nos termos da CF, um ente federativo NÃO terá o direito de secessão, isto é, de desagregar-se da Federação, seja em caso de crise institucional.","OBS.: Nos termos da CF, um ente federativo NÃO terá o direito de secessão, isto é, de desagregar-se da Federação, seja em caso de crise institucional.","cf88,0,,,,0,,,",questao
9,"OBS.: A exagerada e indefinida exploração midiática de crimes e tragédias privadas deve ser impedida, a fim de se respeitar o direito ao esquecimento das vítimas de crimes e, assim, preservar a dignidade da pessoa humana.","OBS.: A exagerada e indefinida exploração midiática de crimes e tragédias privadas deve ser impedida, a fim de se respeitar o direito ao esquecimento das vítimas de crimes e, assim, preservar a dignidade da pessoa humana.","cf88,0,,,,0,2,,",questao
11,OBS.: Os valores sociais do trabalho e da livre iniciativa constituem fundamentos da República Federativa do Brasil.,OBS.: Os valores sociais do trabalho e da livre iniciativa constituem fundamentos da República Federativa do Brasil.,"cf88,0,,,,0,3,,",questao
13,OBS.: Os fundamentos da República Federativa do Brasil incluem o pluralismo político e a cidadania.,OBS.: Os fundamentos da República Federativa do Brasil incluem o pluralismo político e a cidadania.,"cf88,0,,,,0,4,,",questao
14,"OBS.: É fundamento da República Federativa do Brasil, disposto de forma expressa na Constituição Federal, o pluralismo político.","OBS.: É fundamento da República Federativa do Brasil, disposto de forma expressa na Constituição Federal, o pluralismo político.","cf88,0,,,,0,4,,",questao
17,"OBS.: A CF instituiu mecanismos de freios e contrapesos, de modo a concretizar-se a harmonia entre os Poderes Legislativo, Executivo e Judiciário, como, por exemplo, a possibilidade de que o Poder Judiciário declare a inconstitucionalidade das leis.","OBS.: A CF instituiu mecanismos de freios e contrapesos, de modo a concretizar-se a harmonia entre os Poderes Legislativo, Executivo e Judiciário, como, por exemplo, a possibilidade de que o Poder Judiciário declare a inconstitucionalidade das leis.","cf88,0,,,,1,,,",questao
18,"OBS.: Lei estadual, de iniciativa parlamentar, que crie atribuições para determinada secretaria do estado, deverá ser declarada inconstitucional por vício de iniciativa.","OBS.: Lei estadual, de iniciativa parlamentar, que crie atribuições para determinada secretaria do estado, deverá ser declarada inconstitucional por vício de iniciativa.","cf88,0,,,,1,,,",questao
19,"OBS.: Os poderes absolutos do Estado INVIABILIZAM, dentro de cada comunidade estatal concreta, o exercício dos direitos e garantias individuais e coletivos e a prática efetiva das liberdades públicas.","OBS.: Os poderes absolutos do Estado INVIABILIZAM, dentro de cada comunidade estatal concreta, o exercício dos direitos e garantias individuais e coletivos e a prática efetiva das liberdades públicas.","cf88,0,,,,1,,,",questao
20,"OBS.: Segundo o entendimento do STF, representa respeito à independência dos Três Poderes, a imposição pelo Poder Judiciário à administração pública de obrigação de fazer, visando à execução de obras emergenciais em estabelecimentos prisionais.","OBS.: Segundo o entendimento do STF, representa respeito à independência dos Três Poderes, a imposição pelo Poder Judiciário à administração pública de obrigação de fazer, visando à execução de obras emergenciais em estabelecimentos prisionais.","cf88,0,,,,1,,,",questao
21,"OBS.: O princípio da separação de poderes apresenta a dimensão positiva, que traça a ordenação e a organização dos poderes constituídos, e a dimensão negativa, que fixa limites e controles na relação entre os poderes.","OBS.: O princípio da separação de poderes apresenta a dimensão positiva, que traça a ordenação e a organização dos poderes constituídos, e a dimensão negativa, que fixa limites e controles na relação entre os poderes.","cf88,0,,,,1,,,",questao
22,"OBS.: Ao se condicionar a aprovação de licenciamento ambiental à prévia autorização de assembleia legislativa, viola-se o princípio da separação de poderes.","OBS.: Ao se condicionar a aprovação de licenciamento ambiental à prévia autorização de assembleia legislativa, viola-se o princípio da separação de poderes.","cf88,0,,,,1,,,",questao
23,"OBS.: No Brasil, o controle judicial é exercido, com exclusividade, pelo Poder Judiciário.","OBS.: No Brasil, o controle judicial é exercido, com exclusividade, pelo Poder Judiciário.","cf88,0,,,,1,,,",questao
24,"OBS.: A chamada reserva jurisdicional é privativa do Poder Judiciário, NÃO podendo , MESMO QUE excepcionalmente, ser exercida pelo Poder Executivo ou Legislativo em função atípica.","OBS.: A chamada reserva jurisdicional é privativa do Poder Judiciário, NÃO podendo , MESMO QUE excepcionalmente, ser exercida pelo Poder Executivo ou Legislativo em função atípica.","cf88,0,,,,1,,,",questao
25,"OBS.: A função típica do Poder Judiciário é a jurisdicional, MAS LHE É PERMITIDA a prática das funções administrativa e legislativa, DE FORMA ATÍPICA.","OBS.: A função típica do Poder Judiciário é a jurisdicional, MAS LHE É PERMITIDA a prática das funções administrativa e legislativa, DE FORMA ATÍPICA.","cf88,0,,,,1,,,",questao
