,Texto,pre
0," O regime próprio de previdência social dos servidores titulares de cargos efetivos terá caráter contributivo e solidário, mediante contribuição do respectivo ente federativo, de servidores ativos, de aposentados e de pensionistas, sendo observados critérios que preservem o equilíbrio financeiro e atuarial."," o regime próprio de previdência social dos servidores titulares de cargos efetivos terá caráter contributivo e solidário, mediante contribuição do respectivo ente federativo, de servidores ativos, de aposentados e de pensionistas, sendo ervados critérios que preservem o equilíbrio financeiro e atuarial."
1," O princípio da intranscendência subjetiva consiste na exigência de conduta honesta, leal e proba por parte dos gestores públicos, no exercício da função administrativa."," o princípio da intranscendência subjetiva consiste na exigência de conduta honesta, leal e proba por parte dos gestores públicos, no exercício da função administrativa."
2," Atos de improbidade administrativa importarão a suspensão dos direitos políticos, a perda da função pública, a indisponibilidade dos bens e o ressarcimento ao erário, na forma e na gradação previstas em lei, sem prejuízo de ação penal cabível."," atos de improbidade administrativa importarão a suspensão dos direitos políticos, a perda da função pública, a indisponibilidade dos bens e o ressarcimento ao erário, na forma e na gradação previstas em lei, sem prejuízo de ação penal cabível."
3," As condutas do Estado devem pautar-se pela satisfação das necessidades coletivas, o que traduz o princípio da supremacia do interesse público sobre o privado."," as condutas do estado devem pautarse pela satisfação das necessidades coletivas, o que traduz o princípio da supremacia do interesse público sobre o privado."
4," A Constituição Federal de 1988 contemplou a naturalização tácita, ou grande naturalização, na qual um cônjuge adquire automaticamente a nacionalidade do outro em razão do casamento."," a constituição federal de 1988 contemplou a naturalização tácita, ou grande naturalização, na qual um cônjuge adquire automaticamente a nacionalidade do outro em razão do casamento."
5, A duração legal da hora de serviço noturno (52 minutos e trinta segundos) constitui vantagem suplementar que não dispensa o salário adicional., a duração legal da hora de serviço noturno (52 minutos e trinta segundos) constitui vantagem suplementar que não dispensa o salário adicional.
6," Tanto os trabalhadores rurais quanto os urbanos têm direito à proteção do salário e ao décimo terceiro salário com base na remuneração integral, restando apenas aos trabalhadores urbanos o direito ao fundo de garantia do tempo de serviço."," tanto os trabalhadores rurais quanto os urbanos têm direito à proteção do salário e ao décimo terceiro salário com base na remuneração integral, restando apenas aos trabalhadores urbanos o direito ao fundo de garantia do tempo de serviço."
7, Entende-se por princípio da vedação do retrocesso a proibição de redução injustificada do grau de concretização alcançado por um direito fundamental prestacional., entendese por princípio da vedação do retrocesso a proibição de redução injustificada do grau de concretização alcançado por um direito fundamental prestacional.
8," Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade."," todos são iguais perante a lei, sem distinção de qualquer natureza, garantindose aos brasileiros e aos estrangeiros residentes no país a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade."
9, A República Federativa do Brasil tem como fundamentos: a soberania; a interdependência; a dignidade da pessoa humana; os valores sociais do trabalho e da livre iniciativa; e o pluripartidarismo político., a república federativa do brasil tem como fundamentos: a soberania; a interdependência; a dignidade da pessoa humana; os valores sociais do trabalho e da livre iniciativa; e o pluripartidarismo político.
10," Constituem objetivos fundamentais da República Federativa do Brasil: construir uma sociedade livre, justa e solidária; erradicar a pobreza e a marginalização; e reduzir as desigualdades sociais e regionais."," constituem objetivos fundamentais da república federativa do brasil: construir uma sociedade livre, justa e solidária; erradicar a pobreza e a marginalização; e reduzir as desigualdades sociais e regionais."
11," A Constituição Federal do Brasil de 1988 pode ser considerada como uma constituição escrita, democrática, dogmática, prolixa e eclética."," a constituição federal do brasil de 1988 pode ser considerada como uma constituição escrita, democrática, dogmática, prolixa e eclética."
12," Constituições orgânicas, dogmáticas ou pluritextuais são aquelas cujas normas se encontram fragmentadas em textos variados e esparsas."," constituições orgânicas, dogmáticas ou pluritextuais são aquelas cujas normas se encontram fragmentadas em textos variados e esparsas."
13," A República Federativa do Brasil rege-se, nas suas relações internacionais, pelos princípios da independência nacional, da autodeterminação dos povos e da não intervenção."," a república federativa do brasil regese, nas suas relações internacionais, pelos princípios da independência nacional, da autodeterminação dos povos e da não intervenção."
14,"  A prática do racismo constitui crime inafiançável e imprescritível, sujeito à pena perpétua e a pagamento de danos morais de forma cumulada.","  a prática do racismo constitui crime inafiançável e imprescritível, sujeito à pena perpétua e a pagamento de danos morais de forma cumulada."
15,"  O direito à vida, previsto no caput do artigo 5.º da Constituição Federal de 1988, abrange tanto o direito de não ser morto quanto o direito de ter uma vida digna.","  o direito à vida, previsto no caput do artigo 5.º da constituição federal de 1988, abrange tanto o direito de não ser morto quanto o direito de ter uma vida digna."
16,"  Desde que pagas as taxas correspondentes e os emolumentos fixados anualmente pela União, todos têm o direito à obtenção de certidões, em repartições públicas, para defesa de direitos e esclarecimento de situações de interesse pessoal.","  desde que pagas as taxas correspondentes e os emolumentos fixados anualmente pela união, todos têm o direito à obtenção de certidões, em repartições públicas, para defesa de direitos e esclarecimento de situações de interesse pessoal."
17,"  É inviolável a liberdade de consciência e de crença, sendo assegurado o livre exercício dos cultos religiosos e garantida, na forma da lei, a proteção aos locais de culto e a suas liturgias.","  é inviolável a liberdade de consciência e de crença, sendo assegurado o livre exercício dos cultos religiosos e garantida, na forma da lei, a proteção aos locais de culto e a suas liturgias."
18,"  A lei assegurará aos autores de inventos industriais o privilégio temporário para sua utilização, bem como a proteção às criações industriais, à propriedade das marcas, aos nomes de empresas e a outros signos distintivos, tendo em vista o interesse social e o desenvolvimento tecnológico e econômico do País.","  a lei assegurará aos autores de inventos industriais o privilégio temporário para sua utilização, bem como a proteção às criações industriais, à propriedade das marcas, aos nomes de empresas e a outros signos distintivos, tendo em vista o interesse social e o desenvolvimento tecnológico e econômico do país."
19,"  A Constituição Federal do Brasil de 1988 pode ser considerada como uma constituição eclética, uma vez que é formada por ideologias conciliatórias.","  a constituição federal do brasil de 1988 pode ser considerada como uma constituição eclética, uma vez que é formada por ideologias conciliatórias."
20,"  Materialmente constitucional é o texto que contém normas fundamentais e estruturais do Estado, a organização de seus órgãos, os direitos e as garantias fundamentais.","  materialmente constitucional é o texto que contém normas fundamentais e estruturais do estado, a organização de seus órgãos, os direitos e as garantias fundamentais."
21,"  Constituição consuetudinária é a que aborda todos os assuntos que os representantes do povo entendem como fundamentais, descendo a minúcias em assuntos que deveriam constar de leis infraconstitucionais.","  constituição consuetudinária é a que aborda todos os assuntos que os representantes do povo entendem como fundamentais, descendo a minúcias em assuntos que deveriam constar de leis infraconstitucionais."
22,"  Quanto à forma, as constituições podem ser rígidas, flexíveis ou plásticas e semirrígidas.","  quanto à forma, as constituições podem ser rígidas, flexíveis ou plásticas e semirrígidas."
23,"  Constituição outorgada é a imposta unilateralmente pelo agente revolucionário, sem que este tenha recebido legitimidade do povo para, em nome dele, atuar.","  constituição outorgada é a imposta unilateralmente pelo agente revolucionário, sem que este tenha recebido legitimidade do povo para, em nome dele, atuar."
24,"  A Constituição Federal do Brasil de 1988 pode ser considerada como uma constituição eclética, uma vez que é formada por ideologias conciliatórias.","  a constituição federal do brasil de 1988 pode ser considerada como uma constituição eclética, uma vez que é formada por ideologias conciliatórias."
25,"  Materialmente constitucional é o texto que contém normas fundamentais e estruturais do Estado, a organização de seus órgãos, os direitos e as garantias fundamentais.","  materialmente constitucional é o texto que contém normas fundamentais e estruturais do estado, a organização de seus órgãos, os direitos e as garantias fundamentais."
26,"  Constituição consuetudinária é a que aborda todos os assuntos que os representantes do povo entendem como fundamentais, descendo a minúcias em assuntos que deveriam constar de leis infraconstitucionais.","  constituição consuetudinária é a que aborda todos os assuntos que os representantes do povo entendem como fundamentais, descendo a minúcias em assuntos que deveriam constar de leis infraconstitucionais."
27,"  Quanto à forma, as constituições podem ser rígidas, flexíveis ou plásticas e semirrígidas.","  quanto à forma, as constituições podem ser rígidas, flexíveis ou plásticas e semirrígidas."
28,"  Constituição outorgada é a imposta unilateralmente pelo agente revolucionário, sem que este tenha recebido legitimidade do povo para, em nome dele, atuar.","  constituição outorgada é a imposta unilateralmente pelo agente revolucionário, sem que este tenha recebido legitimidade do povo para, em nome dele, atuar."
29,"  Caso haja imposição de naturalização, pela norma estrangeira, ao brasileiro residente em Estado estrangeiro, como condição para permanência em seu território ou para o exercício de direitos civis, este não terá declarada a perda de sua nacionalidade.","  caso haja imposição de naturalização, pela norma estrangeira, ao brasileiro residente em estado estrangeiro, como condição para permanência em seu território ou para o exercício de direitos civis, este não terá declarada a perda de sua nacionalidade."
30,"  Com fundamento no princípio da igualdade, expressamente previsto pela Constituição Federal, não se pode estabelecer distinção entre brasileiros natos e naturalizados. Sendo assim, ambos podem ocupar os cargos da carreira diplomática.","  com fundamento no princípio da igualdade, expressamente previsto pela constituição federal, não se pode estabelecer distinção entre brasileiros natos e naturalizados. sendo assim, ambos podem ocupar os cargos da carreira diplomática."
31,"  Os nascidos no estrangeiro de pai brasileiro ou de mãe brasileira, desde que sejam registrados em repartição brasileira competente e venham a residir na República Federativa do Brasil, optando pela nacionalidade brasileira, são brasileiros naturalizados.","  os nascidos no estrangeiro de pai brasileiro ou de mãe brasileira, desde que sejam registrados em repartição brasileira competente e venham a residir na república federativa do brasil, optando pela nacionalidade brasileira, são brasileiros naturalizados."
32,"  Os nascidos na República Federativa do Brasil, ainda que de pais estrangeiros, desde que estes não estejam a serviço de seu país, e os nascidos no estrangeiro, de pai brasileiro ou mãe brasileira, desde que qualquer deles esteja a serviço da República Federativa do Brasil, são considerados como brasileiros natos.","  os nascidos na república federativa do brasil, ainda que de pais estrangeiros, desde que estes não estejam a serviço de seu país, e os nascidos no estrangeiro, de pai brasileiro ou mãe brasileira, desde que qualquer deles esteja a serviço da república federativa do brasil, são considerados como brasileiros natos."
33,"  A nacionalidade primária é imposta unilateralmente, pelo Estado, ao indivíduo, quando do nascimento, independentemente de sua vontade, enquanto a nacionalidade secundária é adquirida por vontade própria, depois do nascimento, usualmente pela naturalização do estrangeiro.","  a nacionalidade primária é imposta unilateralmente, pelo estado, ao indivíduo, quando do nascimento, independentemente de sua vontade, enquanto a nacionalidade secundária é adquirida por vontade própria, depois do nascimento, usualmente pela naturalização do estrangeiro."
34,"  É vedada a criação de mais de uma organização sindical, em qualquer grau, representativa de categoria profissional ou econômica na mesma base territorial, que será definida pelos trabalhadores ou empregadores interessados, não podendo ser inferior à área de um município.","  é vedada a criação de mais de uma organização sindical, em qualquer grau, representativa de categoria profissional ou econômica na mesma base territorial, que será definida pelos trabalhadores ou empregadores interessados, não podendo ser inferior à área de um município."
35,"  Nas empresas com mais de quinhentos empregados, é assegurada a eleição de um representante destes com a finalidade exclusiva de promover-lhes o entendimento direto com os empregadores.","  nas empresas com mais de quinhentos empregados, é assegurada a eleição de um representante destes com a finalidade exclusiva de promoverlhes o entendimento direto com os empregadores."
36,"  São direitos dos trabalhadores urbanos e rurais, além de outros que visem à melhoria de sua condição social, o seguro-desemprego, em caso de desemprego involuntário, a participação nos lucros ou resultados, desvinculada da remuneração, e, excepcionalmente, a participação na gestão da empresa, conforme definido em lei.","  são direitos dos trabalhadores urbanos e rurais, além de outros que visem à melhoria de sua condição social, o segurodesemprego, em caso de desemprego involuntário, a participação nos lucros ou resultados, desvinculada da remuneração, e, excepcionalmente, a participação na gestão da empresa, conforme definido em lei."
37,"  A cobrança de taxa de matrícula em universidades públicas está em consonância com os princípios que regem o direito à educação, expressamente previsto pela Constituição Federal.","  a cobrança de taxa de matrícula em universidades públicas está em consonância com os princípios que regem o direito à educação, expressamente previsto pela constituição federal."
38,  Os direitos sociais são compreendidos como direitos de segunda dimensão ou geração e apresentam-se como prestações positivas a serem implementadas pelo Estado.,  os direitos sociais são compreendidos como direitos de segunda dimensão ou geração e apresentamse como prestações positivas a serem implementadas pelo estado.
39,"  A Constituição Federal de 1988 prevê que todo poder emana do povo, que o exerce por meio de representantes eleitos ou diretamente.","  a constituição federal de 1988 prevê que todo poder emana do povo, que o exerce por meio de representantes eleitos ou diretamente."
40,"  Erradicar a pobreza e a marginalização e reduzir as desigualdades sociais e regionais, assim como promover o bem de todos, sem preconceitos de origem, raça, sexo, cor e idade ou quaisquer outras formas de discriminação, constituem fundamentos sociais da República Federativa do Brasil.","  erradicar a pobreza e a marginalização e reduzir as desigualdades sociais e regionais, assim como promover o bem de todos, sem preconceitos de origem, raça, sexo, cor e idade ou quaisquer outras formas de discriminação, constituem fundamentos sociais da república federativa do brasil."
41,"  A Constituição Federal prevê expressamente que a República Federativa do Brasil buscará integração cultural e socioeconômica com os Estados Unidos da América, visando à formação de uma comunidade das Nações Americanas.","  a constituição federal prevê expressamente que a república federativa do brasil buscará integração cultural e socioeconômica com os estados unidos da américa, visando à formação de uma comunidade das nações americanas."
