,Unnamed: 0,original,Texto,endereço,tipo,resultado,pre
0,0,"Art. 1º A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e do Distrito Federal, constitui-se em Estado Democrático de Direito e tem como fundamentos:","Art. 1º A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e do Distrito Federal, constitui-se em Estado Democrático de Direito e tem como fundamentos:","cf88,0,,,,0,,,",art,0,"art. 1º a república federativa do brasil, formada pela união indissolúvel dos estados e municípios e do distrito federal, constituise em estado democrático de direito e tem como fundamentos:"
1,6,I - a soberania;,"Art. 1º A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e do Distrito Federal, constitui-se em Estado Democrático de Direito e tem como fundamentos:I - a soberania;","cf88,0,,,,0,0,,",art-inciso,1,"art. 1º a república federativa do brasil, formada pela união indissolúvel dos estados e municípios e do distrito federal, constituise em estado democrático de direito e tem como fundamentos: a soberania;"
2,7,II - a cidadania,"Art. 1º A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e do Distrito Federal, constitui-se em Estado Democrático de Direito e tem como fundamentos:II - a cidadania","cf88,0,,,,0,1,,",art-inciso,2,"art. 1º a república federativa do brasil, formada pela união indissolúvel dos estados e municípios e do distrito federal, constituise em estado democrático de direito e tem como fundamentos: a cidadania"
3,8,III - a dignidade da pessoa humana;,"Art. 1º A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e do Distrito Federal, constitui-se em Estado Democrático de Direito e tem como fundamentos:III - a dignidade da pessoa humana;","cf88,0,,,,0,2,,",art-inciso,3,"art. 1º a república federativa do brasil, formada pela união indissolúvel dos estados e municípios e do distrito federal, constituise em estado democrático de direito e tem como fundamentos: a dignidade da pessoa humana;"
4,10,IV - os valores sociais do trabalho e da livre iniciativa;,"Art. 1º A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e do Distrito Federal, constitui-se em Estado Democrático de Direito e tem como fundamentos:IV - os valores sociais do trabalho e da livre iniciativa;","cf88,0,,,,0,3,,",art-inciso,4,"art. 1º a república federativa do brasil, formada pela união indissolúvel dos estados e municípios e do distrito federal, constituise em estado democrático de direito e tem como fundamentos: os valores sociais do trabalho e da livre iniciativa;"
5,12,V - o pluralismo político.,"Art. 1º A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e do Distrito Federal, constitui-se em Estado Democrático de Direito e tem como fundamentos:V - o pluralismo político.","cf88,0,,,,0,4,,",art-inciso,5,"art. 1º a república federativa do brasil, formada pela união indissolúvel dos estados e municípios e do distrito federal, constituise em estado democrático de direito e tem como fundamentos: o pluralismo político."
6,15,"Parágrafo único. Todo o poder emana do povo, que o exerce por meio de representantes eleitos ou diretamente, nos termos desta Constituição.","Parágrafo único. Todo o poder emana do povo, que o exerce por meio de representantes eleitos ou diretamente, nos termos desta Constituição.","cf88,0,,,,0,5,,",par,6,". todo o poder emana do povo, que o exerce por meio de representantes eleitos ou diretamente, nos termos desta constituição."
7,16,"Art. 2º São Poderes da União, independentes e harmônicos entre si, o Legislativo, o Executivo e o Judiciário.","Art. 2º São Poderes da União, independentes e harmônicos entre si, o Legislativo, o Executivo e o Judiciário.","cf88,0,,,,1,,,",art,7,"art. 2º são poderes da união, independentes e harmônicos entre si, o legislativo, o executivo e o judiciário."
8,32,Art. 3º Constituem objetivos fundamentais da República Federativa do Brasil:,Art. 3º Constituem objetivos fundamentais da República Federativa do Brasil:,"cf88,0,,,,2,,,",art,8,art. 3º constituem objetivos fundamentais da república federativa do brasil:
9,33,"I - construir uma sociedade livre, justa e solidária;","Art. 3º Constituem objetivos fundamentais da República Federativa do Brasil:I - construir uma sociedade livre, justa e solidária;","cf88,0,,,,2,6,,",art-inciso,9,"art. 3º constituem objetivos fundamentais da república federativa do brasil: construir uma sociedade livre, justa e solidária;"
